Latitude;Longitude;Altitude;CD_setor;N egg;N larvae;N pupae;N adults;A1;A2;B;C;D1;D2;E;Type
-11.4092375698;-37.487594015;0;280630505000012;0;0;0;0;1;0;0;0;1;0;0;R
-11.4093662748;-37.487545394;0;280630505000012;0;0;0;0;0;0;0;0;1;1;0;R
-11.3802025878;-37.562861929;0;280630505000016;0;0;0;0;1;0;0;0;0;1;0;R
-11.3827090688;-37.557106558;0;280630505000016;0;0;0;0;0;0;2;0;0;4;0;R
-11.3812351328;-37.555100594;0;280630505000016;0;0;0;0;1;0;4;0;0;3;0;R
-11.3818365628;-37.554530564;0;280630505000016;0;0;0;0;1;1;4;0;2;4;0;R
-11.3834354948;-37.555438541;0;280630505000016;0;0;0;0;0;1;2;0;2;2;0;R
-11.3844245348;-37.555609487;0;280630505000016;0;0;0;0;0;0;2;0;1;1;0;R
-11.3847503828;-37.558261507;0;280630505000016;0;0;0;0;1;2;1;0;1;4;0;R
-11.3842426988;-37.564428214;0;280630505000016;0;0;0;0;1;1;4;0;2;0;0;R
-11.3839188378;-37.563823539;0;280630505000016;0;0;0;0;1;1;3;0;0;2;0;R
-11.3839014648;-37.563810055;0;280630505000016;0;0;0;0;0;2;3;0;0;0;0;R
-11.3836156328;-37.563477747;0;280630505000016;0;0;0;0;1;0;3;0;1;1;0;R
-11.3832850108;-37.563231567;0;280630505000016;0;0;0;0;1;1;3;0;1;3;0;R
-11.3826266418;-37.562853524;0;280630505000016;0;0;0;0;1;2;4;0;1;1;0;R
-11.3825460938;-37.562822252;0;280630505000016;0;0;0;0;0;1;4;0;1;0;0;R
-11.3822172108;-37.562678632;0;280630505000016;0;0;10;0;1;0;4;0;0;3;0;R
-11.3818418178;-37.562477907;0;280630505000016;0;0;0;0;0;1;1;0;0;0;0;R
-11.3814973998;-37.562393626;0;280630505000016;0;0;0;0;0;0;2;0;2;0;0;R
-11.3812819998;-37.562417379;0;280630505000016;0;0;0;0;0;1;0;0;1;1;0;R
-11.3810638818;-37.562484637;0;280630505000016;0;0;0;0;0;1;3;0;2;3;0;R
-11.3809053338;-37.562571641;0;280630505000016;0;0;0;0;1;0;2;0;2;2;0;R
-11.3807313688;-37.562690092;0;280630505000016;0;0;0;0;1;1;0;0;1;0;0;R
-11.3804580378;-37.562823975;0;280630505000016;0;0;0;0;0;0;4;0;1;1;0;R
-11.3801744148;-37.562942441;0;280630505000016;0;0;0;0;0;0;2;0;0;0;0;R
-11.3802025878;-37.562861929;0;280630505000016;0;0;0;0;0;0;3;0;2;4;0;R
-11.3331740388;-37.584648852;0;280630505000018;0;0;0;0;0;1;1;0;1;4;0;R
-11.3330586478;-37.585561361;0;280630505000018;0;0;0;0;0;1;3;0;0;2;0;R
-11.3330122578;-37.58736425;0;280630505000018;0;0;0;0;0;1;3;0;2;0;0;R
-11.3334195768;-37.589297443;0;280630505000018;0;0;0;0;0;0;0;0;1;2;0;R
-11.3342778508;-37.591016123;0;280630505000018;0;0;0;0;1;2;3;0;2;1;0;R
-11.3355055598;-37.59249387;0;280630505000018;0;0;0;0;1;0;3;0;1;1;0;R
-11.3371562298;-37.593640379;0;280630505000018;19;0;0;0;0;2;1;0;0;4;0;R
-11.3411336948;-37.595352412;0;280630505000018;0;0;0;0;1;1;4;0;0;2;0;R
-11.3424853998;-37.596428358;0;280630505000018;0;0;0;0;0;1;1;0;1;4;0;R
-11.3434858878;-37.597825181;0;280630505000018;0;0;26;0;0;1;4;0;2;4;0;R
-11.3440812158;-37.597272826;0;280630505000018;263;0;0;0;0;1;4;0;1;4;0;R
-11.3437843208;-37.596133332;0;280630505000018;0;0;0;0;1;0;0;0;2;3;0;R
-11.3434667248;-37.595285005;0;280630505000018;0;0;0;0;1;0;1;0;1;3;0;R
-11.3460830288;-37.594457246;0;280630505000018;0;0;0;0;0;2;4;0;1;1;0;R
-11.3467096028;-37.594286888;0;280630505000018;0;0;0;0;0;1;2;0;2;1;0;R
-11.3486798788;-37.593605982;0;280630505000018;0;0;0;0;0;2;2;0;1;0;0;R
-11.3514645468;-37.591230487;0;280630505000018;0;0;0;0;1;2;1;0;1;1;0;R
-11.3522230698;-37.590610347;0;280630505000018;0;0;0;0;0;1;3;0;2;2;0;R
-11.3528091668;-37.589982286;0;280630505000018;0;0;0;0;1;2;4;0;1;1;0;R
-11.3532803118;-37.589638883;0;280630505000018;0;0;0;0;0;2;2;0;0;0;0;R
-11.3536943878;-37.589845921;0;280630505000018;0;0;0;0;1;1;0;0;2;3;0;R
-11.3540532538;-37.590467035;0;280630505000018;0;0;0;0;1;2;1;0;1;3;0;R
-11.3541585328;-37.590497587;0;280630505000018;0;0;0;0;1;2;1;0;0;3;0;R
-11.3545014068;-37.590660744;0;280630505000018;0;0;0;0;0;0;4;0;2;2;0;R
-11.3548261958;-37.590660271;0;280630505000018;52;0;0;0;0;1;4;0;1;3;0;R
-11.3554197058;-37.590825901;0;280630505000018;0;0;0;0;0;1;1;0;0;3;0;R
-11.3559442018;-37.590977729;0;280630505000018;0;0;0;0;0;0;2;0;1;0;0;R
-11.3562064498;-37.591322793;0;280630505000018;0;0;0;0;0;1;0;0;0;3;0;R
-11.3567309468;-37.591336595;0;280630505000018;0;0;0;0;0;1;1;0;0;0;0;R
-11.3571036158;-37.591170965;0;280630505000018;0;0;0;0;1;2;2;0;0;4;0;R
-11.3575038888;-37.59125378;0;280630505000018;0;0;0;0;1;0;2;0;0;4;0;R
-11.3573660618;-37.592686122;0;280630505000018;0;0;0;0;1;1;4;0;0;0;0;R
-11.3577127848;-37.592658494;0;280630505000018;0;0;0;0;1;2;2;0;2;0;0;R
-11.3598587298;-37.592112682;0;280630505000018;0;0;0;0;1;1;3;0;0;4;0;R
-11.3622162728;-37.591631006;0;280630505000018;0;0;0;0;0;2;0;0;2;1;0;R
-11.3625566978;-37.591515479;0;280630505000018;0;0;0;0;0;0;1;0;2;3;0;R
-11.3645293818;-37.59107063;0;280630505000018;0;0;0;0;1;2;1;0;0;1;0;R
-11.3652057058;-37.590881111;0;280630505000018;0;0;0;0;0;0;2;0;0;4;0;R
-11.3658682278;-37.592426996;0;280630505000018;0;0;0;0;0;0;1;0;0;2;0;R
-11.3661166738;-37.593834855;0;280630505000018;0;0;0;0;0;2;2;0;2;3;0;R
-11.3667515908;-37.595532567;0;280630505000018;0;0;0;0;1;2;1;0;0;1;0;R
-11.3663513168;-37.596333115;0;280630505000018;0;0;0;0;1;0;2;0;0;2;0;R
-11.3664065268;-37.596995636;0;280630505000018;0;0;0;0;0;0;0;0;1;4;0;R
-11.3659234378;-37.598127445;0;280630505000018;0;0;0;0;1;2;1;0;2;4;0;R
-11.3654265468;-37.599342068;0;280630505000018;0;0;0;0;0;1;4;0;1;2;0;R
-11.3654955598;-37.600280641;0;280630505000018;0;0;0;0;0;1;0;0;1;1;0;R
-11.3657716098;-37.601053583;0;280630505000018;0;0;0;0;0;1;3;0;1;2;0;R
-11.3665445528;-37.602143984;0;280630505000018;0;0;0;0;1;2;3;0;1;4;0;R
-11.3672898898;-37.602696085;0;280630505000018;0;0;0;0;0;1;4;0;0;1;0;R
-11.3677867808;-37.603551843;0;280630505000018;0;0;0;0;0;0;3;0;0;4;0;R
-11.3679593438;-37.602762011;0;280630505000018;0;0;0;0;0;2;0;0;2;2;0;R
-11.3682187458;-37.601472376;0;280630505000018;0;0;0;0;0;1;3;0;1;4;0;R
-11.3687209718;-37.601128309;0;280630505000018;0;0;0;0;1;0;4;0;1;1;0;R
-11.3688541158;-37.600948134;0;280630505000018;0;0;0;0;0;2;3;0;1;0;0;R
-11.3690547008;-37.600249389;0;280630505000018;0;0;0;0;1;2;0;0;1;2;0;R
-11.3696872248;-37.59971331;0;280630505000018;0;0;0;0;0;0;4;0;0;1;0;R
-11.3703724158;-37.599285395;0;280630505000018;0;0;0;0;1;0;2;0;2;3;0;R
-11.3710035858;-37.598815226;0;280630505000018;0;0;0;0;1;1;4;0;1;1;0;R
-11.3714800298;-37.598444356;0;280630505000018;0;0;0;0;1;2;2;0;2;2;0;R
-11.3716816448;-37.598125875;0;280630505000018;0;0;0;0;1;0;1;0;2;1;0;R
-11.3719796548;-37.59748216;0;280630505000018;0;0;0;0;0;0;4;0;1;1;0;R
-11.3721422398;-37.596790203;0;280630505000018;0;0;0;0;0;1;1;0;0;4;0;R
-11.3722413508;-37.59659049;0;280630505000018;0;0;0;0;0;0;3;0;1;1;0;R
-11.3724588708;-37.596293871;0;280630505000018;0;0;0;0;0;0;4;0;0;0;0;R
-11.3727815288;-37.59606893;0;280630505000018;0;0;0;0;1;0;2;0;0;3;0;R
-11.3731739568;-37.595800996;0;280630505000018;0;0;0;0;0;0;1;0;1;4;0;R
-11.3734939548;-37.595489768;0;280630505000018;0;0;0;0;0;1;2;0;0;2;0;R
-11.3738995828;-37.595010802;0;280630505000018;0;0;0;0;1;1;3;0;2;4;0;R
-11.3742979608;-37.594530882;0;280630505000018;0;0;0;0;0;1;4;0;2;2;0;R
-11.3745470478;-37.59385802;0;280630505000018;0;0;0;0;0;2;4;0;0;3;0;R
-11.3747386858;-37.593698448;0;280630505000018;0;0;0;0;0;2;2;0;2;1;0;R
-11.3750952948;-37.593628218;0;280630505000018;0;0;0;0;1;0;1;0;0;4;0;R
-11.3756444568;-37.593539456;0;280630505000018;0;0;0;0;0;2;4;0;0;3;0;R
-11.3761139008;-37.593358273;0;280630505000018;0;0;0;0;0;1;2;0;2;3;0;R
-11.3765581978;-37.593015109;0;280630505000018;0;0;0;0;0;1;1;0;1;2;0;R
-11.3769263128;-37.592608905;0;280630505000018;221;0;0;0;1;2;4;0;0;4;0;R
-11.3769645088;-37.592524929;0;280630505000018;0;0;0;0;0;2;0;0;2;1;0;R
-11.3769183908;-37.592452196;0;280630505000018;0;0;0;0;1;1;1;0;2;4;0;R
-11.3768907068;-37.592026764;0;280630505000018;0;0;0;0;1;2;0;0;1;0;0;R
-11.3765345508;-37.591927832;0;280630505000018;0;0;0;0;0;1;1;0;0;3;0;R
-11.3763564728;-37.591729967;0;280630505000018;0;0;0;0;1;2;1;0;1;1;0;R
-11.3764158328;-37.591512317;0;280630505000018;0;0;0;0;0;1;4;0;2;4;0;R
-11.3767522018;-37.591433171;0;280630505000018;0;0;0;0;0;1;3;0;1;0;0;R
-11.3766136968;-37.591116588;0;280630505000018;0;0;0;0;1;0;1;0;0;0;0;R
-11.3764356188;-37.590898938;0;280630505000018;0;0;0;0;0;0;1;0;1;1;0;R
-11.3761783958;-37.590819792;0;280630505000018;0;0;0;0;0;2;0;0;2;4;0;R
-11.3762971138;-37.590602141;0;280630505000018;0;0;0;0;1;0;1;0;2;0;0;R
-11.3766730558;-37.590661501;0;280630505000018;0;0;0;0;1;1;0;0;0;2;0;R
-11.3768907068;-37.590364704;0;280630505000018;0;0;0;0;0;1;1;0;0;1;0;R
-11.3769500658;-37.589988762;0;280630505000018;0;0;0;0;1;0;4;0;0;3;0;R
-11.3767917748;-37.589632607;0;280630505000018;0;0;0;0;1;1;1;0;1;2;0;R
-11.3767917748;-37.589236878;0;280630505000018;0;0;0;0;1;2;4;0;2;3;0;R
-11.3768313478;-37.588682859;0;280630505000018;0;0;0;0;1;0;2;0;2;2;0;R
-11.3766928428;-37.588029907;0;280630505000018;0;0;0;0;0;2;0;0;0;3;0;R
-11.3764554058;-37.587495673;0;280630505000018;0;0;0;0;0;1;2;0;2;1;0;R
-11.3762971138;-37.587001013;0;280630505000018;0;0;0;0;0;1;4;0;2;0;0;R
-11.3760596768;-37.586605284;0;280630505000018;0;0;5;0;0;0;0;0;0;0;0;R
-11.3759805308;-37.586110624;0;280630505000018;0;0;0;0;0;0;3;0;0;0;0;R
-11.3761190358;-37.58563575;0;280630505000018;0;0;0;0;0;2;4;0;0;3;0;R
-11.3764949778;-37.58508173;0;280630505000018;0;0;0;0;1;2;0;0;0;3;0;R
-11.3764554058;-37.584686002;0;280630505000018;0;0;0;0;0;0;4;0;0;1;0;R
-11.3766334828;-37.584112195;0;280630505000018;0;0;0;0;1;2;4;0;0;2;0;R
-11.3768115608;-37.583439457;0;280630505000018;0;0;0;0;1;2;2;0;0;4;0;R
-11.3776821638;-37.583182234;0;280630505000018;0;0;0;0;0;0;1;0;2;0;0;R
-11.3782757558;-37.583103088;0;280630505000018;0;0;0;0;1;1;0;0;2;2;0;R
-11.3788099898;-37.583043729;0;280630505000018;0;0;0;0;0;1;1;0;2;1;0;R
-11.3791067858;-37.582727146;0;280630505000018;0;0;0;0;0;0;0;0;2;2;0;R
-11.3786714848;-37.582311631;0;280630505000018;0;0;0;0;1;1;0;0;1;3;0;R
-11.3781174648;-37.582034621;0;280630505000018;0;0;0;0;1;2;0;0;0;2;0;R
-11.3777810958;-37.58132231;0;280630505000018;0;0;0;0;1;1;0;0;0;1;0;R
-11.3774645128;-37.580906795;0;280630505000018;0;0;0;0;1;0;4;0;1;2;0;R
-11.3772864348;-37.580511067;0;280630505000018;0;0;0;0;1;1;0;0;0;3;0;R
-11.3771875028;-37.580135125;0;280630505000018;0;0;0;0;0;0;1;0;1;3;0;R
-11.3766532698;-37.580095552;0;280630505000018;0;0;0;0;1;2;4;0;1;1;0;R
-11.3765147648;-37.580669358;0;280630505000018;0;0;0;0;0;2;0;0;1;3;0;R
-11.3762773278;-37.581183805;0;280630505000018;0;0;0;0;1;1;4;0;1;3;0;R
-11.3759607448;-37.58159932;0;280630505000018;0;0;0;0;0;1;1;0;0;2;0;R
-11.3753275798;-37.581816971;0;280630505000018;0;0;0;0;1;2;2;0;1;4;0;R
-11.3747537728;-37.581836757;0;280630505000018;0;0;0;0;0;2;1;0;1;2;0;R
-11.3742591128;-37.581797184;0;280630505000018;0;0;0;0;0;1;0;0;0;4;0;R
-11.3737644518;-37.581342097;0;280630505000018;0;0;0;0;1;0;2;0;2;2;0;R
-11.3734280828;-37.58076829;0;280630505000018;0;0;0;0;1;0;2;0;0;3;0;R
-11.3731906458;-37.580016406;0;280630505000018;0;0;0;0;1;1;1;0;2;2;0;R
-11.3725772668;-37.57916559;0;280630505000018;0;0;15;0;1;0;1;0;1;3;0;R
-11.3719243148;-37.578512638;0;280630505000018;0;0;0;0;1;2;1;0;2;0;0;R
-11.3712911498;-37.577859687;0;280630505000018;0;0;0;0;0;0;1;0;0;2;0;R
-11.3708558488;-37.577503531;0;280630505000018;0;0;0;0;0;2;0;0;1;2;0;R
-11.3703018288;-37.576890152;0;280630505000018;0;0;0;0;0;0;0;0;0;0;0;R
-11.3700248188;-37.576316346;0;280630505000018;0;0;0;0;1;2;1;0;0;1;0;R
-11.3697082358;-37.575722753;0;280630505000018;0;0;0;0;1;0;0;0;2;3;0;R
-11.3697675948;-37.575089588;0;280630505000018;0;0;0;0;0;0;2;0;0;3;0;R
-11.3700643918;-37.574654286;0;280630505000018;0;0;0;0;0;0;4;0;0;4;0;R
-11.3701831098;-37.574199199;0;280630505000018;0;0;0;0;0;2;0;0;1;2;0;R
-11.3698371668;-37.574181221;0;280630505000018;0;0;0;0;0;2;2;0;2;2;0;R
-11.3693754718;-37.573983571;0;280630505000018;0;0;0;0;0;0;0;0;1;1;0;R
-11.3690552838;-37.573981548;0;280630505000018;0;0;0;0;0;2;4;0;0;2;0;R
-11.3686397688;-37.573823257;0;280630505000018;0;0;0;0;0;2;0;0;2;2;0;R
-11.3684023318;-37.57330881;0;280630505000018;0;0;0;0;1;2;2;0;2;4;0;R
-11.3684814778;-37.572715217;0;280630505000018;0;0;0;0;1;0;4;0;2;2;0;R
-11.3683144398;-37.572386919;0;280630505000018;0;0;0;0;1;1;4;0;2;1;0;R
-11.3678483128;-37.572378848;0;280630505000018;0;0;0;0;1;0;4;0;0;0;0;R
-11.3674130108;-37.572180984;0;280630505000018;0;0;0;0;0;0;0;0;2;1;0;R
-11.3670766418;-37.571864401;0;280630505000018;0;0;0;0;1;2;2;0;2;3;0;R
-11.3668194188;-37.5714291;0;280630505000018;0;0;0;0;1;1;1;0;2;1;0;R
-11.3667600598;-37.570934439;0;280630505000018;0;0;0;0;1;2;4;0;2;1;0;R
-11.3663957438;-37.57066181;0;280630505000018;0;10;0;0;0;1;2;0;2;2;0;R
-11.3657509518;-37.570419992;0;280630505000018;0;0;0;0;1;2;4;0;2;0;0;R
-11.3653750098;-37.570083623;0;280630505000018;0;0;0;0;1;0;1;0;0;1;0;R
-11.3649001358;-37.569885759;0;280630505000018;0;0;19;0;1;1;3;0;2;4;0;R
-11.3642669708;-37.569450458;0;280630505000018;0;0;0;0;1;0;2;0;2;2;0;R
-11.3638118828;-37.569430671;0;280630505000018;0;0;0;0;0;2;0;0;0;4;0;R
-11.3634952998;-37.569034943;0;280630505000018;0;0;0;0;1;0;3;0;1;3;0;R
-11.3630599988;-37.568659001;0;280630505000018;0;0;0;0;0;0;2;0;0;4;0;R
-11.3630599988;-37.568144554;0;280630505000018;0;0;0;0;0;2;0;0;0;0;0;R
-11.3626246978;-37.567966476;0;280630505000018;0;0;0;0;1;1;2;0;0;4;0;R
-11.3624064558;-37.567844705;0;280630505000018;0;0;0;0;1;0;4;0;1;4;0;R
-11.3617343088;-37.567610321;0;280630505000018;0;0;0;0;1;0;1;0;0;0;0;R
-11.3612396478;-37.567372884;0;280630505000018;0;0;0;0;1;1;4;0;1;3;0;R
-11.3608241328;-37.567313524;0;280630505000018;0;0;0;0;0;0;1;0;0;3;0;R
-11.3605866958;-37.56717502;0;280630505000018;0;0;0;0;0;1;4;0;1;3;0;R
-11.3606064828;-37.566957369;0;280630505000018;0;0;0;0;0;2;2;0;1;0;0;R
-11.3602623988;-37.566648393;0;280630505000018;0;0;0;0;0;2;3;0;0;4;0;R
-11.3598150258;-37.566363776;0;280630505000018;0;0;0;0;1;0;0;0;2;2;0;R
-11.3592610058;-37.565691038;0;280630505000018;0;0;0;0;0;1;1;0;2;1;0;R
-11.3588850638;-37.565216164;0;280630505000018;0;20;0;0;0;0;2;0;1;1;0;R
-11.3584299768;-37.564622571;0;280630505000018;0;0;0;0;0;0;4;0;1;3;0;R
-11.3578165978;-37.564305989;0;280630505000018;0;0;0;0;0;2;3;0;2;2;0;R
-11.3572230048;-37.564147697;0;280630505000018;0;0;0;0;0;1;1;0;2;0;0;R
-11.3569064218;-37.56369261;0;280630505000018;0;0;0;0;1;1;1;0;1;3;0;R
-11.3568074898;-37.563019871;0;280630505000018;0;0;0;0;0;0;1;0;0;1;0;R
-11.3566845768;-37.562595671;0;280630505000018;0;0;0;0;1;0;4;0;2;4;0;R
-11.3560255028;-37.562532589;0;280630505000018;0;0;0;0;1;2;4;0;2;1;0;R
-11.3556203048;-37.562426279;0;280630505000018;0;0;0;0;0;1;1;0;2;4;0;R
-11.3554620128;-37.562089909;0;280630505000018;0;0;0;0;1;0;4;0;1;1;0;R
-11.3553432948;-37.56153589;0;280630505000018;0;0;0;0;1;2;0;0;1;4;0;R
-11.3552047898;-37.561001656;0;280630505000018;0;0;0;0;0;2;0;0;1;4;0;R
-11.3547299158;-37.560744433;0;280630505000018;0;0;0;0;0;1;4;0;1;0;0;R
-11.3545122648;-37.560170627;0;280630505000018;0;0;0;0;0;1;4;0;1;0;0;R
-11.3540358988;-37.55987298;0;280630505000018;0;0;0;0;1;2;2;0;0;1;0;R
-11.3534833708;-37.559814471;0;280630505000018;0;0;0;0;1;0;0;0;2;4;0;R
-11.3530678568;-37.559636393;0;280630505000018;0;0;0;0;0;1;0;0;2;1;0;R
-11.3526919148;-37.559577034;0;280630505000018;0;0;0;0;0;1;4;0;0;1;0;R
-11.3522566128;-37.559398956;0;280630505000018;0;0;0;0;1;0;4;0;0;0;0;R
-11.3519202438;-37.559161519;0;280630505000018;0;0;0;0;0;0;1;0;2;1;0;R
-11.3518213118;-37.558686645;0;280630505000018;0;0;0;0;0;1;0;0;1;2;0;R
-11.3518410988;-37.558191985;0;280630505000018;0;0;0;0;0;2;0;0;0;4;0;R
-11.3515886778;-37.557950519;0;280630505000018;0;0;0;0;0;2;4;0;1;0;0;R
-11.3510611438;-37.557953103;0;280630505000018;0;0;0;0;1;2;3;0;1;0;0;R
-11.3506341268;-37.557934761;0;280630505000018;0;0;0;0;0;0;0;0;1;1;0;R
-11.3497239518;-37.557598392;0;280630505000018;0;0;0;0;1;0;2;0;0;3;0;R
-11.3491303588;-37.557519246;0;280630505000018;0;0;0;0;1;0;2;0;0;3;0;R
-11.3482942718;-37.557700162;0;280630505000018;0;0;0;0;1;1;2;0;1;4;0;R
-11.3477453088;-37.557677538;0;280630505000018;0;0;0;0;1;1;3;0;2;2;0;R
-11.3472704348;-37.557163091;0;280630505000018;0;0;0;0;0;2;1;0;2;4;0;R
-11.3470132118;-37.556470566;0;280630505000018;0;0;0;0;0;0;1;0;0;1;0;R
-11.3467757748;-37.556035265;0;280630505000018;0;0;0;0;1;0;0;0;0;2;0;R
-11.3466174838;-37.555540604;0;280630505000018;0;0;0;0;0;1;0;0;0;2;0;R
-11.3462415418;-37.555243808;0;280630505000018;0;0;0;0;0;0;0;0;0;1;0;R
-11.3461821818;-37.554749147;0;280630505000018;0;0;0;0;1;0;0;0;0;3;0;R
-11.3463800458;-37.554491924;0;280630505000018;0;0;0;0;0;1;2;0;2;4;0;R
-11.3462217548;-37.554135768;0;280630505000018;0;0;0;0;0;2;1;0;0;0;0;R
-11.3458853858;-37.553581749;0;280630505000018;0;0;0;0;1;2;4;0;0;0;0;R
-11.3454302978;-37.55324538;0;280630505000018;0;0;0;0;1;1;2;0;0;4;0;R
-11.3449986518;-37.552929904;0;280630505000018;0;0;0;0;0;1;2;0;1;2;0;R
-11.3439724338;-37.554138116;0;280630505000018;0;0;0;0;1;2;4;0;2;1;0;R
-11.3437603128;-37.554117868;0;280630505000018;0;0;0;0;1;0;2;0;2;1;0;R
-11.3433736208;-37.554800196;0;280630505000018;0;0;0;0;0;2;3;0;2;2;0;R
-11.3435866228;-37.556196539;0;280630505000018;0;0;0;0;0;0;1;0;2;0;0;R
-11.3432789538;-37.556764543;0;280630505000018;0;0;0;0;0;1;0;0;0;4;0;R
-11.3426162828;-37.556717209;0;280630505000018;0;0;0;0;0;0;0;0;0;4;0;R
-11.3423559478;-37.55693021;0;280630505000018;0;0;0;0;0;0;0;0;1;1;0;R
-11.3419592218;-37.557511137;0;280630505000018;0;0;0;0;1;0;3;0;0;3;0;R
-11.3420719458;-37.558563222;0;280630505000018;0;0;0;0;1;0;1;0;0;4;0;R
-11.3413619408;-37.559225893;0;280630505000018;0;0;0;0;1;2;0;0;2;1;0;R
-11.3427281668;-37.561109069;0;280630505000018;0;0;0;0;1;1;2;0;1;0;0;R
-11.3430984548;-37.56191181;0;280630505000018;0;0;0;0;1;2;0;0;0;4;0;R
-11.3439626198;-37.564660865;0;280630505000018;0;0;0;0;0;0;4;0;0;2;0;R
-11.3437158578;-37.565273199;0;280630505000018;0;0;0;0;0;1;1;0;0;2;0;R
-11.3435974768;-37.56604985;0;280630505000018;0;0;0;0;0;2;3;0;0;4;0;R
-11.3436342698;-37.566567129;0;280630505000018;0;0;0;0;1;2;0;0;2;0;0;R
-11.3438550558;-37.566981566;0;280630505000018;0;0;0;0;1;1;2;0;2;4;0;R
-11.3445028958;-37.568088539;0;280630505000018;0;0;0;0;0;2;2;0;2;4;0;R
-11.3446687848;-37.568990406;0;280630505000018;0;0;0;0;1;0;3;0;0;4;0;R
-11.3446964178;-37.569687008;0;280630505000018;0;0;0;0;1;0;4;0;1;0;0;R
-11.3447863168;-37.570000639;0;280630505000018;0;0;0;0;1;0;2;0;2;4;0;R
-11.3449579008;-37.570595093;0;280630505000018;0;0;0;0;1;0;0;0;2;3;0;R
-11.3449282918;-37.570894136;0;280630505000018;0;0;0;0;1;0;3;0;1;4;0;R
